CryptoSwift.o                                      			0.57M
TYRZUISDK[arm64][6]                                			0.00M
TYRZUISDK[arm64][9]                                			0.00M
libJCore.a[148]                                    			0.00M
libJVerification.a[19]                             			0.00M
libspeechsdk.a[arm64][295]                         			0.00M
ChatFileInfo.o                                     			0.00M
WKWebView+RunJS.o                                  			0.00M
libswiftCompatibility51.a[arm64][7]                			0.00M
libJCore.a[10]                                     			0.00M
libSpeechEngineToB_SpeechEngineToB_awesome_ios.a[arm64][7] 			0.00M
libspeechsdk.a[arm64][222]                         			0.00M
libJCore.a[101]                                    			0.00M
OAuth[8]                                           			0.00M
libJCore.a[29]                                     			0.00M
libspeechsdk.a[arm64][94]                          			0.00M
libspeechsdk.a[arm64][179]                         			0.00M
libspeechsdk.a[arm64][91]                          			0.00M
TYRZUISDK[arm64][13]                               			0.00M
UMAPM[18]                                          			0.00M
libspeechsdk.a[arm64][275]                         			0.00M
LoadingFooterView.o                                			0.00M
libspeechsdk.a[arm64][119]                         			0.00M
UMAPM[132]                                         			0.00M
libspeechsdk.a[arm64][95]                          			0.00M
UMAPM[71]                                          			0.00M
libspeechsdk.a[arm64][293]                         			0.00M
UMAPM[56]                                          			0.00M
UMAPM[77]                                          			0.00M
WKWebView+Ext.o                                    			0.00M
libJCore.a[6]                                      			0.00M
libJCore.a[9]                                      			0.00M
libJCore.a[102]                                    			0.00M
libJCore.a[67]                                     			0.00M
libspeechsdk.a[arm64][271]                         			0.00M
libJCore.a[19]                                     			0.00M
libspeechsdk.a[arm64][225]                         			0.00M
libJCore.a[5]                                      			0.00M
TYRZUISDK[arm64][8]                                			0.00M
TYRZUISDK[arm64][41]                               			0.00M
UMCommon[49]                                       			0.00M
libJCore.a[11]                                     			0.00M
TYRZUISDK[arm64][52]                               			0.00M
libJPush.a[42]                                     			0.00M
UMCommon[36]                                       			0.00M
TYRZUISDK[arm64][49]                               			0.00M
libJCore.a[28]                                     			0.00M
libJPush.a[50]                                     			0.00M
UIViewController+ScreenSet.o                       			0.00M
UMAPM[35]                                          			0.00M
BCBridgePanelImp.o                                 			0.00M
BCEncrypt.o                                        			0.00M
libJCore.a[82]                                     			0.00M
WxSharer.o                                         			0.00M
libJCore.a[16]                                     			0.00M
libJPush.a[55]                                     			0.00M
libJCore.a[153]                                    			0.00M
EAccountApiSDK[28]                                 			0.00M
BCShareChannelEntry.o                              			0.00M
UMAPM[96]                                          			0.00M
libJPush.a[30]                                     			0.00M
UMAPM[30]                                          			0.00M
libJPush.a[37]                                     			0.00M
libJVerification.a[21]                             			0.00M
libJCore.a[55]                                     			0.00M
libspeechsdk.a[arm64][266]                         			0.00M
libJPush.a[11]                                     			0.00M
libJCore.a[143]                                    			0.00M
libJPush.a[33]                                     			0.00M
UMAPM[126]                                         			0.00M
String+OpenURL.o                                   			0.00M
libspeechsdk.a[arm64][187]                         			0.00M
UMAPM[76]                                          			0.00M
UMAPM[22]                                          			0.00M
libJVerification.a[2]                              			0.00M
libJVerification.a[24]                             			0.00M
libspeechsdk.a[arm64][247]                         			0.00M
Foundation.tbd                                     			0.00M
UMCommon[35]                                       			0.00M
UMCommon[26]                                       			0.00M
libspeechsdk.a[arm64][138]                         			0.00M
UMAPM[38]                                          			0.00M
SimpleWebViewController.o                          			0.00M
libc++.1.tbd                                       			0.00M
UMAPM[49]                                          			0.00M
UMAPM[45]                                          			0.00M
libJCore.a[139]                                    			0.00M
libspeechsdk.a[arm64][144]                         			0.00M
UMAPM[19]                                          			0.00M
UIDevice+Ext.o                                     			0.00M
libJPush.a[40]                                     			0.00M
UMAPM[89]                                          			0.00M
libspeechsdk.a[arm64][109]                         			0.00M
account_login_sdk_noui_core[arm64][12]             			0.00M
libJCore.a[133]                                    			0.00M
libWechatOpenSDK.a[arm64][3]                       			0.00M
UMAPM[15]                                          			0.00M
BCAudioStateObserver.o                             			0.00M
libspeechsdk.a[arm64][283]                         			0.00M
libJCore.a[114]                                    			0.00M
EAccountApiSDK[12]                                 			0.00M
BCLinkJumpHandler.o                                			0.00M
BCHybridStoreItem.o                                			0.00M
UMCommon[18]                                       			0.00M
libspeechsdk.a[arm64][92]                          			0.00M
UMCommon[62]                                       			0.00M
UMAPM[124]                                         			0.00M
account_login_sdk_noui_core[arm64][11]             			0.00M
libspeechsdk.a[arm64][215]                         			0.00M
libJVerification.a[8]                              			0.00M
libspeechsdk.a[arm64][241]                         			0.00M
libJCore.a[59]                                     			0.00M
libJCore.a[26]                                     			0.00M
libspeechsdk.a[arm64][128]                         			0.00M
UMAPM[78]                                          			0.00M
UMAPM[92]                                          			0.00M
EAccountApiSDK[3]                                  			0.00M
libJPush.a[18]                                     			0.00M
libspeechsdk.a[arm64][103]                         			0.00M
LoginHostApiImpl.o                                 			0.00M
libJCore.a[14]                                     			0.00M
UMCommon[11]                                       			0.00M
libJVerification.a[7]                              			0.00M
libspeechsdk.a[arm64][294]                         			0.00M
TYRZUISDK[arm64][55]                               			0.00M
UMCommon[47]                                       			0.00M
BCTTSViewModel.o                                   			0.00M
libJPush.a[47]                                     			0.00M
BCUIWindow.o                                       			0.00M
libJCore.a[103]                                    			0.00M
libspeechsdk.a[arm64][273]                         			0.00M
libspeechsdk.a[arm64][236]                         			0.00M
libJVerification.a[12]                             			0.00M
UMCommon[48]                                       			0.00M
libJPush.a[45]                                     			0.00M
libspeechsdk.a[arm64][184]                         			0.00M
libspeechsdk.a[arm64][85]                          			0.00M
WelcomeViewController.o                            			0.00M
libJPush.a[20]                                     			0.00M
TYRZUISDK[arm64][29]                               			0.00M
UMAPM[66]                                          			0.00M
libJPush.a[53]                                     			0.00M
TYRZUISDK[arm64][43]                               			0.00M
libspeechsdk.a[arm64][234]                         			0.00M
UMCommon[6]                                        			0.00M
libJVerification.a[11]                             			0.00M
HomePageViewController+GGWK.o                      			0.00M
libspeechsdk.a[arm64][268]                         			0.00M
TrackingMethodChannel.o                            			0.00M
